country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-03-2025 20:00:00,28.5710274,77.0719006,CO,16,166,32
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",09-03-2025 20:00:00,28.5627763,77.1180053,PM2.5,56,322,181
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-03-2025 20:00:00,28.6811736,77.3025234,PM2.5,46,304,104
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",09-03-2025 20:00:00,26.2271665,84.3570427,CO,101,126,110
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",09-03-2025 20:00:00,30.735567,76.775714,NO2,20,140,62
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",09-03-2025 20:00:00,30.735567,76.775714,SO2,14,50,22
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",09-03-2025 20:00:00,30.735567,76.775714,CO,22,111,43
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",09-03-2025 20:00:00,30.751462,76.762879,SO2,2,11,6
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",09-03-2025 20:00:00,21.194815,81.314770,NH3,1,4,3
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",09-03-2025 20:00:00,21.194815,81.314770,OZONE,5,36,28
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",09-03-2025 20:00:00,21.185571,81.343175,NO2,4,12,9
India,Bihar,Patna,"Muradpur, Patna - BSPCB",09-03-2025 20:00:00,25.619651,85.147382,NH3,4,31,10
India,Bihar,Patna,"Muradpur, Patna - BSPCB",09-03-2025 20:00:00,25.619651,85.147382,CO,28,65,48
India,Bihar,Patna,"Muradpur, Patna - BSPCB",09-03-2025 20:00:00,25.619651,85.147382,OZONE,16,21,18
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",09-03-2025 20:00:00,25.599486,85.113666,PM10,61,288,122
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",09-03-2025 20:00:00,25.599486,85.113666,NO2,11,80,47
India,Bihar,Patna,"Samanpura, Patna - BSPCB",09-03-2025 20:00:00,25.596727,85.085624,NO2,36,51,44
India,Bihar,Patna,"Samanpura, Patna - BSPCB",09-03-2025 20:00:00,25.596727,85.085624,CO,2,135,41
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",09-03-2025 20:00:00,25.366336,87.117468,NH3,3,3,3
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",09-03-2025 20:00:00,25.366336,87.117468,CO,34,107,67
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",09-03-2025 20:00:00,25.03280,85.41948,SO2,9,26,15
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",09-03-2025 20:00:00,25.892357,86.590325,SO2,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",09-03-2025 20:00:00,25.859655,85.77944,OZONE,7,8,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-03-2025 20:00:00,24.952822,84.002396,NH3,3,3,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-03-2025 20:00:00,24.952822,84.002396,SO2,5,5,5
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",09-03-2025 20:00:00,26.2271665,84.3570427,PM10,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",09-03-2025 20:00:00,26.2271665,84.3570427,NO2,1,16,5
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",09-03-2025 20:00:00,21.237755,81.705301,PM2.5,38,74,53
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",09-03-2025 20:00:00,21.237755,81.705301,NO2,7,36,26
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",09-03-2025 20:00:00,21.371751,81.664929,OZONE,4,46,28
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",09-03-2025 20:00:00,22.06631475,83.33820077,NH3,1,3,2
India,Delhi,Delhi,"Alipur, Delhi - DPCC",09-03-2025 20:00:00,28.815329,77.153010,SO2,5,54,15
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",09-03-2025 20:00:00,28.647622,77.3158090,PM2.5,72,370,249
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",09-03-2025 20:00:00,22.348441,82.549611,PM2.5,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",09-03-2025 20:00:00,22.348441,82.549611,PM10,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",09-03-2025 20:00:00,22.348441,82.549611,SO2,8,16,10
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",09-03-2025 20:00:00,22.1910172,83.5197009,NH3,1,4,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",09-03-2025 20:00:00,22.1910172,83.5197009,CO,20,90,37
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",09-03-2025 20:00:00,21.258815,81.578979,NO2,43,78,65
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",09-03-2025 20:00:00,21.258815,81.578979,SO2,6,45,14
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",09-03-2025 20:00:00,21.224231,81.408350,PM10,66,116,96
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",09-03-2025 20:00:00,22.08815,82.13737,SO2,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",09-03-2025 20:00:00,22.118125,83.140608,OZONE,17,72,48
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",09-03-2025 20:00:00,22.368195,82.746431,PM2.5,44,106,62
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",09-03-2025 20:00:00,22.368195,82.746431,NO2,25,35,31
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",09-03-2025 20:00:00,22.368195,82.746431,CO,34,50,36
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",09-03-2025 20:00:00,28.695381,77.181665,OZONE,1,161,129
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",09-03-2025 20:00:00,28.4706914,77.1099364,CO,31,94,41
India,Delhi,Delhi,"Bawana, Delhi - DPCC",09-03-2025 20:00:00,28.776200,77.051074,PM2.5,92,437,251
India,Delhi,Delhi,"Bawana, Delhi - DPCC",09-03-2025 20:00:00,28.776200,77.051074,SO2,7,47,18
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",09-03-2025 20:00:00,28.7256504,77.2011573,PM2.5,46,349,210
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",09-03-2025 20:00:00,28.732820,77.170633,PM2.5,68,355,240
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",09-03-2025 20:00:00,28.732820,77.170633,NO2,22,127,60
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",09-03-2025 20:00:00,28.710508,77.249485,SO2,4,55,15
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",09-03-2025 20:00:00,28.710508,77.249485,CO,50,119,87
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",09-03-2025 20:00:00,28.531346,77.190156,NO2,18,104,54
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",09-03-2025 20:00:00,28.672342,77.315260,PM10,101,362,195
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",09-03-2025 20:00:00,28.672342,77.315260,NH3,1,7,4
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",09-03-2025 20:00:00,28.672342,77.315260,OZONE,2,172,115
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",09-03-2025 20:00:00,28.699793,77.165453,NO2,65,226,138
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",09-03-2025 20:00:00,28.699793,77.165453,OZONE,1,294,199
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",09-03-2025 20:00:00,23.107969,72.574648,PM2.5,125,431,273
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",09-03-2025 20:00:00,23.107969,72.574648,OZONE,2,169,124
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",09-03-2025 20:00:00,22.977134,72.553024,NO2,50,201,114
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",09-03-2025 20:00:00,28.5918245,77.2273074,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",09-03-2025 20:00:00,28.5918245,77.2273074,PM10,NA,NA,NA
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",09-03-2025 20:00:00,28.611281,77.237738,NH3,2,16,9
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",09-03-2025 20:00:00,28.611281,77.237738,CO,7,112,31
